,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
54,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
55,A Handbook for Mechanical Engineering,4.4,7260,285,350,18,English,Paperback,Made Easy Team,11-20
56,Set Of Indian Army NER Soldier GD General Duty Recruitm...,4.4,1145,229,265,13,English,Paperback,Ram Singh Yadav,11-20
57,41 Years' Chapterwise Topicwise Solved Papers (2019-197...,4.6,3506,279,465,40,English,Paperback,Agarwal Amitm.,31-40
58,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
59,The Secret,4.4,3545,277,395,29,Telugu,Paperback,Byrne Rhonda,21-30
60,Delhi Police Constable (Purush/Mahila) Bharti Pariksha ...,4.5,88,113,135,16,English,Paperback,Arihant Publication,11-20
61,Oxford Student Atlas for India,4.5,13575,219,315,30,English,Paperback,unknown,21-30
62,Great Stories for Children,4.5,7242,123,195,36,English,Paperback,Bond Ruskin,31-40
63,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
64,Pathfinder Cds Combined Defence Services Entrance Exami...,4.5,1328,569,775,26,English,Paperback,unknown,21-30
65,Pawan D.el.ed. Second Semester Question Bank Total Book...,4.3,16,190,210,9,English,Paperback,PAWAN,1-10
66,Toppers' Study Hacks,4.6,334,150,249,39,English,Paperback,Agarwal Avinash,31-40
67,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
68,Nursing Research and Statistics,4.4,477,499,695,28,English,Paperback,Suresh Sharma,21-30
69,"English Ncert Class 11, English Textbook Class 11, Horn...",4.4,998,115,188,38,English,Paperback,NCERT,31-40
70,Indian Economy For Civil Services and Other Competitive,4.7,642,550,665,17,English,Paperback,Singhania Nitin,11-20
71,Speedy Current Affairs Year Book Hindi 2020 September 2...,3.5,8,110,120,8,English,Paperback,Speedy,1-10
72,Blackbook Of English Vocabulary (SSC Vocabulary) New Ed...,4.4,1838,240,360,33,English,Paperback,Nikhil Gupta,31-40
73,Let's Crack SSB Interview 1 Edition,4.3,3292,350,390,10,English,Paperback,SSBCrack,1-10
74,The Power of Your Subconscious Mind,4.5,19268,195,199,2,English,Paperback,Dr. Murphy Joseph,1-10
75,BD Chaurasia’s Human Anatomy 8th Edition 2019 (Volume 1...,4.6,224,1699,2100,19,English,Paperback,BD Chaurasia,11-20
76,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
77,NCERT Books Set Class 1 (English Medium - Binded Books),3.9,134,275,305,9,English,Hardcover,NCERT,1-10
78,SSC Constables (Executive) Male and Female In Delhi Pol...,4.0,215,256,300,14,English,Paperback,V.V.K.Subburaj,11-20
79,Medieval India Old NCERT History Text Book By Satish Ch...,4.2,1670,90,239,62,English,Paperback,Satish Chandra,61-70
80,Cbse Syllabus Accountancy Class-Xii Part A Volume II,4.3,92,266,280,5,English,Paperback,RAJESH GOEL,1-10
81,7 Years Upsc IAS/ Ips Mains Essay Year-Wise Solved Pape...,4.3,536,85,100,15,English,Paperback,unknown,11-20
82,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
83,All In One English Language & Literature CBSE Class 10 ...,4.5,980,366,450,18,English,Paperback,unknown,11-20
84,Oxford Student Atlas for India,4.5,13575,235,299,21,English,Paperback,unknown,21-30
85,A Brief History of Modern India,4.4,17881,234,390,40,English,Paperback,unknown,31-40
86,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
87,Word Power Made Easy,4.4,285,170,189,10,English,Paperback,NORMAN LEWIS,1-10
88,Secret ( Tamil ),4.5,3197,276,399,30,Tamil,Paperback,Rhonda Byrne,21-30
89,Colouring Books Collections for Early Learning by InIka...,4.4,1922,189,300,37,English,Paperback,InIkao,31-40
90,Compatitive Handbook Of Nursing,4.6,14,499,600,16,English,Paperback,pr yadav,11-20
91,Drishti Ias Mains Solved Papers,4.4,532,319,360,11,English,Paperback,Drishti Publications,11-20
92,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
93,Bhartiya Thal Sena Ner General Duty 2019,4.3,365,124,140,11,Hindi,Paperback,Major RD. Ahluwalia,11-20
