,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
239,IIT JAM Physics Solved Papers and Practice sets 2021,4.5,40,228,270,15,English,Paperback,Atique Hasan,11-20
240,"Srimad Bhagavad Gita As It Is : Kannada 
(New Edition)",4.6,2082,291,450,35,English,Hardcover,His Divine Grace A. C. Bhaktivedanta Swami Prabhupada,31-40
241,The Blue Umbrella,4.5,9400,85,95,10,English,Paperback,Bond Ruskin,1-10
242,Secrets of the Millionare Mind,4.5,3906,143,225,36,Hindi,Paperback,Eker T. Harv,31-40
243,Mastering Modern World History,4.4,2767,346,999,65,English,Paperback,Lowe Norman,61-70
244,A Guide to Mental Health and Psychiatric Nursing,4.5,529,559,850,34,English,Paperback,Sreevani R.,31-40
245,Railway G.S 2020 (2011-A),4.4,55,357,425,16,Hindi,Paperback,SSGCP GROUP,11-20
246,Concepts of Phyics: v. 1,4.5,16216,370,430,13,English,Paperback,Verma H.C.,11-20
247,The Indian Penal Code (45 Of 1860) As Amended By The Ja...,4.6,187,170,210,19,English,Paperback,Universal,11-20
248,Marketing Management 15e (with free INDIAN CASES book),4.6,1360,961,1049,8,English,Paperback,Kotler Philip,1-10
249,Comprehensive Ophthalmology - comprehensive ophthalmolo...,4.6,632,997,1150,13,English,Paperback,unknown,11-20
250,Cosmos Vastunisth Prashan Sangrah Vyakhya Sahit NCERT C...,4.3,696,275,380,27,English,Paperback,Mahesh Kumar Barnwal,21-30
251,Nift Exam Full Package,4.0,124,495,795,37,English,Paperback,LearnX.co.in,31-40
252,Tharoorosaurus,4.8,83,243,399,39,English,Hardcover,Tharoor Shashi,31-40
253,The Complete Sherlock Holmes (Novels),4.1,25,190,250,24,English,Paperback,Sir Doyle Arthur Conan,21-30
254,Premier Home Science Human Ecology And Family Sciences ...,4.8,35,272,289,5,English,Paperback,Pushpa Balyan,1-10
255,Jawahar Navodaya Vidyalaya Class 9 2021,4.4,145,228,295,22,English,Paperback,unknown,21-30
256,Concepts Of Physics Vol I & II With Solutions Of Both T...,4.5,544,1063,1300,18,English,Paperback,H C VERMA,11-20
257,Objective Ncert at Your Fingertips for Neet-Aiims - Che...,4.5,5495,529,750,29,English,Paperback,unknown,21-30
258,Sharda Ankganit By S.D Yadav,4.4,419,312,450,30,English,Paperback,Dr. S. D. Yadav,21-30
259,An Introduction to Political Theory,4.4,730,395,500,21,English,Paperback,Gauba O.P.,21-30
260,Pariksha Manthan Lakshya 4 2020 In Hindi,5.0,4,149,180,17,English,Paperback,Anil Agrawal,11-20
261,Quantitative Aptitude,4.2,30691,330,635,48,English,Paperback,Aggarwal R. S.,41-50
262,"THE LEXICON For Ethics, Integrity & Aptitude",4.4,246,280,395,29,English,Paperback,CHRONICLE,21-30
263,ACCOUNTANCY CLASS-XI,4.6,107,680,690,1,English,Paperback,SHELLY GOEL,1-10
264,Blossom Story Book For Kids In English | 3 To 4 Year Ol...,4.3,132,66,70,5,English,Paperback,Content Team at Target Publications,1-10
265,Mathematics for Jee Main,4.4,1020,725,965,24,English,Paperback,Tewani G.,21-30
266,Ncrt Physics Part 1+2 Taxbook For Class 11th New,4.4,84,214,260,17,English,Paperback,NCERT,11-20
267,Who Will Cry When You Die?,4.4,124,177,185,4,Marathi,Paperback,Sharma Robin S.,1-10
268,The Secret,4.4,14227,16,17,5,English,Paperback,Byrne Rhonda,1-10
269,Oswaal CBSE Question Bank Chapterwise & Topicwise Solve...,5.0,6,395,599,34,English,Paperback,Oswaal Editorial Board,31-40
270,Bharat Ka Bhugol: Civil Seva/Rajya Seva Ki Prarambhik E...,4.5,3362,444,565,21,Hindi,Paperback,Hussain Majid,21-30
271,The Diary of A Young Girl,4.5,4431,121,135,10,English,Paperback,Anne Frank,1-10
272,The Diary of a Young Girl,4.5,4431,200,240,16,English,Paperback,Anne Frank,11-20
273,Mastering Essay & Answer Writing for UPSC Civil Service...,4.5,451,118,160,26,English,Paperback,Singh Awdhesh,21-30
274,Purvavlokan General Science 2020 (20121-C),4.5,113,280,345,18,English,Paperback,SSGCP GROUP,11-20
275,THE DIARY OF A YOUNG GIRL,4.5,4431,125,150,16,English,Paperback,ANNE FRANK,11-20
276,General Knowledge 2020,4.3,9480,149,185,19,English,Paperback,Arihant Experts,11-20
277,A Complete Study Pacakage for Mca Entrances,4.4,1104,673,825,18,English,Paperback,Agarwal Amitm,11-20
278,REVIEW OF PHARMACY 10ED (RO),4.2,380,539,717,24,English,Paperback,PRABHAKAR,21-30
279,Writing Fun-Set of 4 Books,4.4,3691,106,299,64,English,Paperback,unknown,61-70
280,The Book Thief,4.6,4147,380,499,23,English,Paperback,Zusak Markus,21-30
281,Kiran SSC Mathematics Chapterwise & Typewise Solved Pap...,4.3,822,517,700,26,English,Paperback,Kiran Prakashan,21-30
282,Pediatric Nursing (As per INC Syllabus),4.5,331,573,625,8,English,Paperback,Datta Parul,1-10
283,Objective Ncert at Your Fingertips for Neet-Aiims - Phy...,4.5,2826,476,700,32,English,Paperback,unknown,31-40
284,Mathematics Class - 6,4.4,341,195,260,25,English,Paperback,R S Aggarwal,21-30
285,Ross & Wilson Anatomy and Physiology in Health and Illn...,4.5,875,901,1160,22,English,Paperback,BSc PhD FHEA Waugh Anne,21-30
286,Eduteria Current Affairs,4.4,1384,71,95,25,English,Paperback,PRAVEEN KUMAR,21-30
287,Atomic Habits : The Life-Changing Million Copy Bestsell...,4.3,21,193,599,67,English,Paperback,James Clear,61-70
288,My First 100 Animals & Birds,4.4,1701,94,299,68,English,Hardcover,unknown,61-70
289,18 Afcat Year-Wise (2020 - 11) Solved Papers,4.4,358,114,190,40,English,Paperback,unknown,31-40
290,English For General Competitions Revised Edition 2020 V...,4.2,510,240,550,56,English,Paperback,Neetu Singh,51-60
291,Pitman Shorthand Instructor And Key 1st  Edition,4.4,2622,97,169,42,English,Paperback,Issac Pitman,41-50
292,Park's Textbook of Preventive and Social Medicine 25th ...,4.0,532,831,1400,40,English,Paperback,K. Park,31-40
293,AADITYA Vastunisth Samanya Hindi 2020 For All Competiti...,4.5,114,188,225,16,English,Hardcover,PAWAN KUMAR TIWARI,11-20
294,Bhagavad Gita - Iskcon,4.7,1390,245,750,67,Bengali,Paperback,Prabhupada A. C. Bhaktivedanta Swami,61-70
295,Get Success In SSB Interviews,4.4,2318,180,250,28,English,Paperback,Arihant Experts,21-30
296,Total English For Class - 9 According To The Latest ICS...,4.5,107,265,295,10,English,Paperback,Pamela Pinto,1-10
297,CDS Maths : Fastrack With Shortcut Tricks,4.5,82,341,552,38,English,Paperback,DDE,31-40
298,Public Administration,4.4,2890,650,800,18,English,Paperback,Laxmikanth M.,11-20
299,GATE-2021 Electronics & Communication Engineering Previ...,4.6,45,675,900,25,English,Paperback,By Subject Experts of the ACE Engineering Academy,21-30
300,Everyday Vocabulary More Than 6100 Words,4.2,8380,58,75,22,English,Paperback,Gupta Kumkum,21-30
301,Arihant Jee Mains 3-Books Set (Mathematics + Physics + ...,4.3,531,537,855,37,English,Paperback,ARIHANT PRAKASHAN,31-40
302,Ncert Chemistry Class 11 Pack Of 2 Book ( Part 1 And 2 ...,4.1,1541,208,335,37,English,Paperback,NCERT,31-40
303,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
304,Bihar Samagrah Pre Revised 2019 (Hindi ),4.4,52,210,270,22,English,Paperback,KBC EXPERT,21-30
305,Dental Pulse 14th Edition,4.4,11,4379,5250,16,English,Paperback,K. Satheesh Kumar Reddy,11-20
306,Police Bharti Sampurna Margadarshak 2020 : Sahyadr Acad...,4.3,92,350,650,46,English,Paperback,Mr. Umesh Rupanwar,41-50
307,History Of Modern India By Bipan Chandra ( New Edition ...,4.5,6,297,425,30,English,Paperback,Bipan Chandra,21-30
308,Concept Of Physics - Part 1 & 2 2019 - 2020 Session (Se...,4.5,123,699,870,19,English,Paperback,HC VERMA,11-20
309,Objective Ncert at Your Fingertips for Neet-Aiims - Che...,4.5,5495,519,700,25,English,Paperback,unknown,21-30
310,"D,Pharma 1st Year (6 Books In Bilingual English Hindi B...",4.3,169,1070,1300,17,English,Others,Hemant Bhardwaj,11-20
311,My First Book of Patterns Numbers 1 to 20,4.5,1082,46,199,76,English,Paperback,unknown,71-80
312,C Programming Language 2nd  Edition,4.5,2071,294,440,33,English,Paperback,Brian W. Kernighan,31-40
313,"Pharmacology for Medical Graduates, 4th Edition",4.5,469,783,895,12,English,Paperback,Dr. Shanbhag Tara,11-20
314,Combo Objective Physics For Neet Volume - 1 & 2,4.5,11,1165,1398,16,English,Paperback,DC PANDEY,11-20
315,Ignited Minds - Unleashing the Power Within India,4.5,708,160,199,19,English,Paperback,A P J Abdul Kalam,11-20
316,General Knowledge 2021,4.4,9049,25,30,16,English,Paperback,Pandey Manohar,11-20
317,Rukmini Railway Mathematics (2700) Previous Year Solved...,4.3,165,140,160,12,English,Paperback,Rukmini Prakashan,11-20
318,IAS Mains Chapterwise Solved Papers General Studies 202...,4.5,2607,277,450,38,English,Paperback,Mittal Siddharth,31-40
319,"Physics Part 1 & 2, Chemistry Part -1 & 2 And Biology T...",4.2,1528,650,840,22,English,Paperback,NCERT,21-30
320,Analytical Reasoning,4.2,3954,279,350,20,English,Paperback,Pandey M K,11-20
321,SSC Samanya Adhyayan 1999-2020,4.5,59,409,500,18,English,Paperback,Rakesh Yadav,11-20
322,How to Prepare for Quantitative Aptitude for the CAT,4.5,10967,725,865,16,English,Paperback,Sharma Arun,11-20
323,Agriculture at a glance 21st ed,4.5,375,452,495,8,English,Paperback,Sharma R K,1-10
324,Nift Exam Full Package,4.0,124,495,795,37,English,Paperback,LearnX.co.in,31-40
325,Moment & Beehive English Ncert Book Class 9th (Set Of 2...,4.3,780,118,120,1,English,Paperback,Ncert,1-10
326,Indian Army NER Soldier GD General Duty Recruitment Exa...,4.3,33,118,135,12,English,Paperback,Ramsinh Yadav,11-20
327,"Oswaal CBSE Question Bank Class 10 Science, Social Scie...",4.7,103,919,1201,23,English,Paperback,Oswaal Editorial Board,21-30
328,The Story of My Life,4.1,156,73,95,23,English,Paperback,Keller H,21-30
329,GATE-2021 Mechanical Engineering Previous GATE Question...,4.3,89,615,820,25,English,Paperback,By Subject Experts of the ACE Engineering Academy,21-30
330,Lucent General Knowledge Hindi 2018 Edition,4.4,1781,140,160,12,English,Paperback,S K SINGH,11-20
331,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
332,Giant Book Series Princess Colouring Book,4.6,771,58,199,70,English,Paperback,unknown,61-70
333,Arihant General Intelligence And Reasoning Test,4.3,249,139,150,7,English,Paperback,R K JHA,1-10
334,Indian Navy Secondary SSR Guide 2019,4.3,2230,186,265,29,English,Paperback,unknown,21-30
335,A Modern Approach to Verbal & Non-Verbal Reasoning,4.4,21037,500,825,39,English,Paperback,Aggarwal R. S.,31-40
336,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
337,Rapidex English for Hindi Speakers,4.3,6819,220,235,6,English,Paperback,unknown,1-10
338,Student Atlas For India,4.5,460,259,339,23,English,Hardcover,ROBINA,21-30
339,"Rogi Swayam Chikitsak, Focuses On Ayurveda, Daily Habit...",4.4,1206,149,159,6,English,Paperback,NA,1-10
340,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
341,A TEXTBOOK OF FORENSIC PHARMACY (RO),4.3,133,215,330,34,English,Paperback,JAIN,31-40
342,Ikigai,4.4,165,237,250,5,Marathi,Paperback,GarciA HeCtor,1-10
343,32 Year's Neet-Aiipmt Chapterwise Solution Physics & Ch...,4.4,282,395,600,34,English,Paperback,MTG,31-40
344,Judo Jodo Aur Jeeto (Network Marketing) H Hindi,4.4,931,184,250,26,Hindi,Paperback,Patni Ujjaval,21-30
345,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
346,A Handbook for Letter Writing,4.3,3039,100,150,33,English,Paperback,Gupta S.C.,31-40
347,Arihant Delhi Police Constable 2020 ( Buy Form Trueman ...,4.3,82,187,275,32,English,Paperback,ARIHANT TEAM,31-40
348,SSC English 2019 For General Competitions(Volume - 1),4.4,1897,300,490,38,English,Paperback,NEETU SINGH,31-40
349,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
350,Complete NEET Guide Chemistry,4.4,3000,615,750,18,English,Paperback,unknown,11-20
351,The Girl in Room 105,4.3,40,171,250,31,Bengali,Paperback,Bhagat Chetan,31-40
352,Computer Knowledge for SBI/ IBPS Clerk/ PO/ RRB/ RBI/ S...,4.2,1186,114,200,43,English,Paperback,Shikha Agarwal,41-50
353,Self Study Package LLB Pravesh Pariksha 2020,4.2,309,355,420,15,Hindi,Paperback,Arihant Experts,11-20
354,Problems in Physical Chemistry for Jee (Main & Advanced...,4.5,1610,415,518,19,English,Paperback,Avasthi Narendra,11-20
355,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
356,After We Collided,4.7,316,248,399,37,English,Paperback,Todd Anna,31-40
357,Chemistry Part 1 Class 12th,4.2,367,170,206,17,English,Paperback,ncert,11-20
358,IIT JAM Mathematics Solved Papers and Practice sets 202...,4.6,35,223,270,17,English,Paperback,Neha Tyagi,11-20
359,CDS Maths : Fastrack With Shortcut Tricks,4.5,82,341,552,38,English,Paperback,DDE,31-40
360,151 Essays,4.4,3368,201,335,40,English,Paperback,Gupta S. C.,31-40
361,General Knowledge 2019 ( Science Physics Chemistry Biol...,4.4,746,143,210,31,English,Hardcover,Sunil Kumar Singh,31-40
362,Creative Crayons Super Pack,4.6,848,166,499,66,English,Paperback,unknown,61-70
363,Cbse All in One Science Class 9 for 2021 Exam,4.7,283,324,450,28,English,Paperback,Sharma Heena,21-30
364,GATE 2021 Electrical Engineering Previous GATE Question...,4.4,86,540,720,25,English,Paperback,By Subject Experts of the ACE Engineering Academy,21-30
365,Objective Ncert at Your Fingertips for Neet-Aiims - Phy...,4.5,2826,529,750,29,English,Paperback,unknown,21-30
366,Mathematics MCQ (Multiple-Choice-Question Bank),4.3,781,412,582,29,English,Paperback,Gupta Asit Das,21-30
367,Rajan D.el.ed. Second Semester Question Bank 7 Books,4.6,16,183,220,16,English,Paperback,RAJAN,11-20
368,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
369,AFCAT the first step,4.3,425,312,560,44,English,Paperback,DDE,41-50
370,THE HOLY BIBLE HINDI (O.V.) Re- Edited COMPACT SIZE CON...,4.6,136,339,450,24,English,Others,THE WORD OF GOD,21-30
371,CBSE All In One Mathematics Class 10 for 2021 Exam,4.6,386,352,490,28,English,Paperback,Kumar Prem,21-30
372,7 Years Upsc IAS/ Ips Mains English (Compulsory) Year-W...,4.3,327,85,100,15,English,Paperback,unknown,11-20
373,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
374,Governance in India,4.5,5297,467,550,15,English,Paperback,Laxmikanth M.,11-20
375,Crown Samanya Gyan,4.3,518,210,240,12,English,Paperback,Ritesh Kumar,11-20
376,Crown Samanya Gyan,4.3,518,203,240,15,English,Paperback,Ritesh Kumar,11-20
377,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
378,PROBLEMS IN PHYSICAL CHEMISTRY FOR JEE,4.4,261,401,518,22,English,Paperback,Narendra Avasthi,21-30
379,"Lexicon for Ethics, Integrity & Aptitude for IAS Genera...",4.4,1493,225,395,43,English,Paperback,Kumar Niraj,41-50
380,Cracking the Csat Paper-2,4.5,2949,595,850,30,English,Paperback,Arihant Experts,21-30
381,One Night at the Call Centre,4.4,4527,166,250,33,English,Paperback,Bhagat Chetan,31-40
382,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
383,Madhya Pradesh Ek Samagra Adhyyan,4.4,172,290,350,17,English,Paperback,Mahesh Kumar Burnwal,11-20
384,Ancient and Medieval India,4.6,11155,535,550,2,English,Paperback,Dahiya Poonam Dalal,1-10
385,"Arihant NCERT Exemplar .A Set Of 3 Books Physics,Chemis...",4.3,323,333,475,29,English,Paperback,Arihant Experts,21-30
386,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
387,Nobel 262 Mega Police Bharati Prashnapatrika Sancha 201...,4.4,237,230,275,16,English,Paperback,Prof. K.K. Bhutekar,11-20
388,Skills in Mathematics,4.5,1724,180,225,20,English,Paperback,unknown,11-20
389,Cbse Chapterwise Solved Papers 2019-2020 Physics Class ...,4.5,5326,168,300,44,English,Paperback,unknown,41-50
390,RRB 2020 Maths (General & Advance) Chapter-Wise & Type-...,4.2,34,312,395,21,English,Paperback,yct,21-30
391,Problems in General Physics,4.0,3,159,199,20,English,Paperback,IE,11-20
392,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
393,Errorless Physics For NEET 2020 ( Set Of 2 Volume),4.4,302,800,1590,49,English,Paperback,late shri mohan lal,41-50
394,Think And Grow Rich ( Hindi ),4.3,1061,160,175,8,English,Paperback,NAPOLEON HILL,1-10
395,Mathematics For Class - 7 ,4.2,352,45,50,10,English,Paperback,NCERT EXPERTS,1-10
396,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
397,Essential English Grammar,4.3,5683,168,225,25,English,Paperback,Murphy,21-30
398,The Secret,4.4,829,261,450,42,Bengali,Paperback,Byrne Rhonda,41-50
399,Indian Forestry A Breakthrough Approach To Forest Servi...,4.5,476,420,430,2,English,Paperback,K. MANIKANDAN,1-10
400,A Brief History Of Modern India Spectrum,4.3,1073,250,395,36,English,Paperback,rajiv ahir,31-40
401,Delhi Police Constable Male/Female Computer Based Test ...,4.4,107,188,285,34,English,Paperback,Arihant publication india limited,31-40
402,Indian Army Mer Technical,4.3,619,148,195,24,English,Paperback,Ahluwalia R.D.,21-30
403,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
404,RSMSSB Rajasthan Junior Engineer 2020 Non Tech All Prev...,4.3,272,205,248,17,English,Paperback,Doctor Rajiv,11-20
405,Dietetics,4.4,481,480,760,36,English,Paperback,Srilakshmi B.,31-40
406,"A Handbook on Civil Engineering - IES, GATE, PSUs & Oth...",4.3,1935,259,350,26,English,Paperback,Made Easy,21-30
407,Biology Tax Book For Class 11th,4.2,140,183,230,20,English,Paperback,NCERT,11-20
408,"A Thousand Splendid Suns (English, Paperback)",4.2,157,190,499,61,English,Paperback,Genric Author,61-70
409,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
410,Sampurna Ganit - Clupyta Aani Sutre,4.2,196,229,275,16,English,Paperback,Pandharinath Rane,11-20
411,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
412,The Power of Your Subconscious Mind,4.4,5155,489,679,27,English,Hardcover,Murphy Joseph,21-30
413,The Constitution Of India As Amended By The Jammu And K...,4.6,249,185,220,15,English,Paperback,Universal,11-20
414,Competitive Book of Agriculture,4.4,1092,250,350,28,English,Paperback,Sunda Nem Raj,21-30
415,Adhunik Bharat Ka Itihas,4.3,5580,268,400,33,Hindi,Paperback,Ahir Rajiv,31-40
416,Fundamental Of Physical Geography Class 11,4.2,812,108,110,1,English,Paperback,Ncert,1-10
417,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
418,Upsc Civil Services Examination Previous 12 Years ( 200...,4.5,377,305,375,18,English,Paperback,Drishti Publications,11-20
419,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
420,The Power of Your Subconscious Mind,4.4,5155,1419,1989,28,English,Paperback,Murphy Joseph,21-30
421,The Power of Your Subconscious Mind,4.4,5155,1669,2339,28,English,Hardcover,Murphy Joseph,21-30
422,Purvavlokan Samanya Bhugol 2020 (2013-C),4.5,331,282,312,9,Hindi,Paperback,SSGCP GROUP,1-10
423,"UP BTC D.El.Ed 2nd Semester ( Paper 1 , 2 , 3 , 4 , 5 ,...",4.5,26,200,220,9,English,Hardcover,pawan,1-10
424,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
425,Objective Agriculture For JRF Exam,4.5,530,350,440,20,English,Paperback,Dr. S. R. Kantwa,11-20
426,And Then There Were None,4.6,5378,132,250,47,English,Paperback,Christie Agatha,41-50
427,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
428,SSC English 2019 For General Competitions(Volume - 1),4.4,1897,300,490,38,English,Paperback,NEETU SINGH,31-40
429,Skills in Mathematics - VECTORS & 3D GEOMETRY for JEE M...,4.6,1044,199,260,23,English,Paperback,Arihant Experts,21-30
430,Self Study Package LLB Pravesh Pariksha 2020,4.2,309,251,360,30,Hindi,Paperback,Arihant Experts,21-30
431,Comprehensive Guide to Ibps Bank Po/ Mt Preliminary & M...,4.4,377,489,820,40,English,Paperback,unknown,31-40
432,Physics Galaxy 2020-21,4.7,361,463,760,39,English,Paperback,Arora Ashish,31-40
433,Cbse All in One Hindi 'B' Class 10 for 2021 Exam,4.3,173,320,335,4,Hindi,Paperback,Tiwari Manju,1-10
434,Sapiens,4.5,75,355,499,28,Tamil,Paperback,Harari Yuval Noah,21-30
435,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
436,Themes in Indian History for Class - 12 (Set of 3 Parts...,4.3,786,278,350,20,English,Paperback,NCERT,11-20
437,Ncert Biology Textbook For Class 11,4.0,55,191,230,16,English,Paperback,NCERT,11-20
438,Instant Horticulture 17th Edition,4.6,112,265,295,10,English,Paperback,S.N. Gupta,1-10
439,DC Dutta's Textbook of Obstetrics,4.5,1319,1186,1295,8,English,Paperback,Konar Hiralal,1-10
440,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
441,32 Years Neet-Aipmt Chapterwise Solutions - Chemistry 2...,4.5,2107,185,300,38,English,Paperback,unknown,31-40
442,Reasoning & Aptitude for GATE & ESE- 2021,4.3,294,405,600,32,English,Others,MADE EASY Editorial Board,31-40
443,Normal People,4.5,160,427,699,38,English,Paperback,Rooney Sally,31-40
444,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
445,Cbse All in One English Language & Literature Class 9 f...,4.7,195,298,415,28,English,Paperback,Singh Gajendra,21-30
446,How to Win Friends and Influence People,4.5,17036,159,199,20,English,Paperback,Carnegie Dale,11-20
447,Aristotle and Dante Discover the Secrets of the Univers...,4.6,401,215,299,28,English,Paperback,Saenz Benjamin Alire,21-30
448,Play With Advanced Maths By Abhinay Sharma,4.4,2687,329,460,28,English,Paperback,Abhinay Sharma,21-30
449,Learning How To Fly - Life Lessons for the Youth,4.6,2503,145,195,25,English,Paperback,Kalam Abdul A. P. J.,21-30
450,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
451,Rapidex English For Hindi Speaking Course With CD,4.3,155,245,250,2,English,Paperback,R K GUPTA,1-10
452,Bihar Samanya Gyan,4.4,360,290,390,25,Hindi,Paperback,Sudhir Lal,21-30
453,Nta UGC Paper 1 Teaching and Research Aptitude,4.6,886,310,449,30,English,Paperback,Madaan K.V.S.,21-30
454,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
455,SBI & IBPS Bank Clerk 44 Year-wise Solved Papers (2009-...,4.3,83,440,710,38,English,Paperback,Disha Experts,31-40
456,Physics Part- I & II Class 11 NCERT,4.3,303,215,270,20,English,Paperback,NCERT,11-20
457,My First Library - Boxset of 10 Board Books,4.4,4427,474,750,36,English,Hardcover,unknown,31-40
458,Introduction to Electrodynamics 4/e PB 4 Edition,4.6,1972,422,519,18,English,Paperback,David G,11-20
459,The Girl in Room 105,4.5,32067,113,199,43,English,Paperback,Bhagat Chetan,41-50
460,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
461,Gate Ese Reasoning & Aptitude (2021),4.4,29,445,600,25,English,Paperback,MADE EASY,21-30
462,Complete NEET Guide Chemistry,4.4,3000,498,775,35,English,Paperback,unknown,31-40
463,Complete Neet Guide Chemistry,4.4,3000,506,775,34,English,Paperback,unknown,31-40
464,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
465,NCERT History Books Set Class 6 To 12 (English Medium -...,4.3,787,899,1250,28,English,Hardcover,NCERT,21-30
466,IBPS Bank Clerk Guide for Preliminary & Main Exams 2020...,4.6,53,449,690,34,English,Paperback,Disha Experts,31-40
467,Combo set of GeneraL Knowledge and objective general en...,4.7,27,189,315,40,English,Paperback,Manohar Pandey,31-40
468,Fast Track Objective Arithmetic 2012,4.2,634,285,465,38,English,Paperback,Verma Rajesh,31-40
469,Jawahar Navodaya Vidyalaya Entrance Exam 2020 Class 6,4.4,916,200,315,36,English,Paperback,ARIHANT EXPERTS,31-40
470,Indian and World Geography For Civil Services Prelimina...,4.4,230,444,575,22,English,Paperback,Husain Majid,21-30
471,Set Of 3 Book History Of Medieval India Prambhik Bharat...,4.2,1223,390,550,29,English,Paperback,RAMSARAN SARMA,21-30
472,Objective Biology Chapter-wise MCQs for NTA NEET/ AIIMS...,4.3,462,165,320,48,English,Paperback,Disha Experts,41-50
473,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
474,Bhagavad-Gita Yatharup (Hindi)(Hardcover),4.6,594,180,350,48,English,Hardcover,A. C. Bhaktivedanta Swami Prabhupada,41-50
475,Samanya Budhi Avum Tarkshakti Parikshan,4.3,3032,110,155,29,Hindi,Paperback,Jha R.K.,21-30
476,14000 + Objective Questions - General Studies,4.2,4058,450,899,49,English,Paperback,Pandey Manohar,41-50
477,Self Study Guide Neet - Bhautiki|Rasayan Vigyan|Jeev Vi...,4.5,194,690,850,18,Hindi,Paperback,Garg S.N.,11-20
478,Ncert Exemplar Problems-Solutions Science Class 10th - ...,4.4,6128,98,125,21,English,Paperback,Experts,21-30
479,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
480,The Monk Who Sold His Ferrari,4.8,8,157,185,15,English,Paperback,Sharma Robin S.,11-20
481,D.Pharma 2nd Year In Bilingual (English & Hindi) 6 Book...,4.6,22,1075,1300,17,English,Hardcover,EXPERTS OF PANEL,11-20
482,T.S. Grewal's Double Entry Book Keeping: Accounting For...,4.4,245,845,1169,27,English,Paperback,TS GREWAL,21-30
483,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
484,"Thermal Physics: With Kinetic Theory, Thermodynamics an...",4.5,603,470,595,21,English,Paperback,Garg S C,21-30
